Member_number,Date,itemDescription,,istext
4039,19-01-2015,vinegar,,TRUE
3927,9/12/2015,rolls/buns,,FALSE
3594,11/9/2015,other vegetables,,FALSE
4129,7/11/2015,margarine,,FALSE
2616,16-05-2015,pip fruit,,TRUE
2539,15-11-2015,tropical fruit,,TRUE
2556,28-08-2015,pastry,,TRUE
3855,18-06-2015,domestic eggs,,TRUE
2089,15-10-2015,cream cheese ,,TRUE
2466,28-08-2015,whole milk,,TRUE
1211,19-04-2015,other vegetables,,TRUE
1370,5/7/2015,chocolate,,FALSE
3779,10/10/2015,domestic eggs,,FALSE
3498,31-03-2015,root vegetables,,TRUE
1613,6/4/2015,whipped/sour cream,,FALSE
1176,17-08-2015,other vegetables,,TRUE
4027,29-06-2015,pip fruit,,TRUE
4389,17-12-2015,liquor,,TRUE
2578,28-05-2015,root vegetables,,TRUE
1342,19-02-2015,pastry,,TRUE
2210,7/9/2015,rolls/buns,,FALSE
4807,8/4/2015,waffles,,FALSE
2799,10/9/2015,pickled vegetables,,FALSE
2957,27-11-2015,grapes,,TRUE
3566,14-12-2015,pork,,TRUE
4768,13-03-2015,flour,,TRUE
4853,4/10/2015,whole milk,,FALSE
3791,25-03-2015,yogurt,,TRUE
3235,14-11-2015,long life bakery product,,TRUE
3866,7/7/2015,whole milk,,FALSE
4385,17-11-2015,margarine,,TRUE
4938,10/12/2015,other vegetables,,FALSE
1528,15-09-2015,chicken,,TRUE
4273,21-03-2015,whole milk,,TRUE
1329,23-05-2015,whipped/sour cream,,TRUE
4158,11/11/2015,domestic eggs,,FALSE
1558,6/4/2015,other vegetables,,FALSE
4782,31-05-2015,berries,,TRUE
4606,15-05-2015,dishes,,TRUE
3066,5/5/2015,other vegetables,,FALSE
2299,10/11/2015,newspapers,,FALSE
3677,1/9/2015,domestic eggs,,FALSE
3947,13-06-2015,liver loaf,,TRUE
2475,23-07-2015,napkins,,TRUE
4677,9/4/2015,rolls/buns,,FALSE
1890,27-05-2015,specialty chocolate,,TRUE
3645,5/12/2015,rolls/buns,,FALSE
4951,24-11-2015,pip fruit,,TRUE
1718,14-03-2015,frozen vegetables,,TRUE
1304,17-08-2015,whole milk,,TRUE
2018,25-08-2015,chocolate,,TRUE
3232,10/6/2015,ice cream,,FALSE
4905,25-11-2015,other vegetables,,TRUE
1238,1/3/2015,margarine,,FALSE
4892,13-04-2015,make up remover,,TRUE
4152,18-06-2015,sugar,,TRUE
1790,5/2/2015,other vegetables,,FALSE
1874,10/2/2015,other vegetables,,FALSE
4708,6/6/2015,processed cheese,,FALSE
3852,1/4/2015,other vegetables,,FALSE
4688,8/5/2015,rolls/buns,,FALSE
1042,16-10-2015,other vegetables,,TRUE
4908,20-05-2015,soda,,TRUE
1780,12/7/2015,rolls/buns,,FALSE
1438,11/5/2015,beef,,FALSE
1265,19-01-2015,other vegetables,,TRUE
3669,10/2/2015,white bread,,FALSE
2412,13-03-2015,hard cheese,,TRUE
1818,10/9/2015,specialty bar,,FALSE
2601,27-06-2015,ready soups,,TRUE
1905,31-07-2015,whole milk,,TRUE
1407,26-06-2015,citrus fruit,,TRUE
3754,2/1/2015,whole milk,,FALSE
2743,5/5/2015,dog food,,FALSE
2211,22-09-2015,canned beer,,TRUE
4138,12/6/2015,light bulbs,,FALSE
4141,12/11/2015,pot plants,,FALSE
4826,15-06-2015,other vegetables,,TRUE
2685,7/10/2015,yogurt,,FALSE
3793,2/7/2015,rolls/buns,,FALSE
4687,23-09-2015,other vegetables,,TRUE
2277,18-01-2015,shopping bags,,TRUE
4518,20-07-2015,rice,,TRUE
1997,28-12-2015,pip fruit,,TRUE
4114,7/8/2015,salty snack,,FALSE
1097,25-09-2015,whipped/sour cream,,TRUE
2568,22-09-2015,flour,,TRUE
1997,20-08-2015,newspapers,,TRUE
4987,7/1/2015,waffles,,FALSE
2404,2/6/2015,flour,,FALSE
1619,4/3/2015,jam,,FALSE
3640,13-03-2015,domestic eggs,,TRUE
4537,27-10-2015,salty snack,,TRUE
3519,30-07-2015,hamburger meat,,TRUE
3587,8/6/2015,hair spray,,FALSE
1232,1/7/2015,grapes,,FALSE
2597,15-08-2015,soda,,TRUE
1878,10/1/2015,soda,,FALSE
2860,1/3/2015,shopping bags,,FALSE
4006,14-06-2015,root vegetables,,TRUE
4536,13-09-2015,dessert,,TRUE
4180,4/6/2015,whole milk,,FALSE
1384,23-03-2015,other vegetables,,TRUE
3322,11/10/2015,yogurt,,FALSE
2543,13-08-2015,cream cheese ,,TRUE
3763,27-06-2015,whole milk,,TRUE
4459,8/2/2015,hamburger meat,,FALSE
2736,25-05-2015,soda,,TRUE
1549,18-03-2015,beef,,TRUE
2047,20-12-2015,frozen vegetables,,TRUE
3754,22-01-2015,hamburger meat,,TRUE
2667,16-06-2015,fruit/vegetable juice,,TRUE
1829,19-06-2015,pork,,TRUE
1376,30-06-2015,soda,,TRUE
2953,4/1/2015,frozen fruits,,FALSE
3465,14-06-2015,berries,,TRUE
3120,23-12-2015,berries,,TRUE
1301,7/1/2015,soda,,FALSE
1865,18-10-2015,dessert,,TRUE
2772,4/12/2015,napkins,,FALSE
1875,22-05-2015,berries,,TRUE
3358,29-03-2015,bottled beer,,TRUE
3255,5/11/2015,frozen dessert,,FALSE
3877,27-05-2015,berries,,TRUE
1480,24-08-2015,packaged fruit/vegetables,,TRUE
2850,27-03-2015,finished products,,TRUE
1699,7/7/2015,chicken,,FALSE
3258,20-05-2015,rum,,TRUE
4717,3/5/2015,tropical fruit,,FALSE
3307,28-06-2015,bottled water,,TRUE
2332,15-12-2015,root vegetables,,TRUE
2431,27-10-2015,newspapers,,TRUE
2312,26-03-2015,red/blush wine,,TRUE
2232,15-01-2015,specialty chocolate,,TRUE
3998,14-12-2015,berries,,TRUE
3054,28-06-2015,pip fruit,,TRUE
4550,26-03-2015,chicken,,TRUE
1075,20-07-2015,frozen meals,,TRUE
3898,11/4/2015,pork,,FALSE
3374,27-08-2015,pork,,TRUE
4262,25-04-2015,other vegetables,,TRUE
1151,17-09-2015,pip fruit,,TRUE
3669,17-01-2015,white wine,,TRUE
4222,27-12-2015,tropical fruit,,TRUE
1914,4/6/2015,rolls/buns,,FALSE
1306,20-11-2015,chocolate marshmallow,,TRUE
4229,20-08-2015,other vegetables,,TRUE
2145,12/12/2015,coffee,,FALSE
1977,12/1/2015,beef,,FALSE
4552,19-06-2015,soda,,TRUE
4013,18-03-2015,root vegetables,,TRUE
4566,30-08-2015,pastry,,TRUE
3111,23-12-2015,white bread,,TRUE
3699,12/12/2015,pastry,,FALSE
2895,14-08-2015,hamburger meat,,TRUE
3868,19-08-2015,domestic eggs,,TRUE
3215,24-04-2015,curd,,TRUE
2461,4/10/2015,whole milk,,FALSE
1452,25-11-2015,other vegetables,,TRUE
4618,16-12-2015,sliced cheese,,TRUE
4721,23-05-2015,canned vegetables,,TRUE
2712,21-06-2015,grapes,,TRUE
1458,24-08-2015,canned beer,,TRUE
3746,9/11/2015,tropical fruit,,FALSE
3596,20-04-2015,citrus fruit,,TRUE
4120,11/12/2015,pip fruit,,FALSE
3215,21-07-2015,canned beer,,TRUE
1674,2/4/2015,shopping bags,,FALSE
3310,14-05-2015,white bread,,TRUE
4783,1/6/2015,chewing gum,,FALSE
3741,14-06-2015,pastry,,TRUE
2466,10/10/2015,whole milk,,FALSE
1653,7/12/2015,frozen vegetables,,FALSE
2070,28-06-2015,spread cheese,,TRUE
1749,4/1/2015,specialty cheese,,FALSE
2625,18-02-2015,whole milk,,TRUE
3002,21-01-2015,grapes,,TRUE
1064,25-07-2015,root vegetables,,TRUE
2127,19-11-2015,bottled beer,,TRUE
4392,16-08-2015,margarine,,TRUE
1649,26-05-2015,salty snack,,TRUE
4375,29-04-2015,soda,,TRUE
1699,25-09-2015,margarine,,TRUE
2682,1/12/2015,herbs,,FALSE
2022,3/6/2015,other vegetables,,FALSE
2669,29-03-2015,bottled beer,,TRUE
3025,19-10-2015,herbs,,TRUE
3019,19-12-2015,soda,,TRUE
4801,4/8/2015,butter milk,,FALSE
3679,25-09-2015,brown bread,,TRUE
3380,16-02-2015,yogurt,,TRUE
3354,29-11-2015,canned fish,,TRUE
1756,23-09-2015,onions,,TRUE
3172,1/3/2015,pickled vegetables,,FALSE
3341,15-12-2015,hamburger meat,,TRUE
1113,5/8/2015,specialty bar,,FALSE
3339,8/12/2015,whole milk,,FALSE
3015,10/10/2015,white bread,,FALSE
3144,27-04-2015,pip fruit,,TRUE
4106,6/3/2015,yogurt,,FALSE
1798,1/1/2015,pastry,,FALSE
1493,22-05-2015,yogurt,,TRUE
4454,23-12-2015,bottled water,,TRUE
2935,9/1/2015,canned beer,,FALSE
3328,12/9/2015,shopping bags,,FALSE
3915,30-09-2015,pip fruit,,TRUE
1968,21-08-2015,margarine,,TRUE
4355,13-03-2015,misc. beverages,,TRUE
1580,7/8/2015,pip fruit,,FALSE
3703,24-01-2015,domestic eggs,,TRUE
1497,18-04-2015,liquor (appetizer),,TRUE
1340,13-03-2015,whole milk,,TRUE
1102,27-06-2015,white bread,,TRUE
4223,7/10/2015,pastry,,FALSE
4190,27-12-2015,soda,,TRUE
4695,22-07-2015,margarine,,TRUE
1421,23-02-2015,citrus fruit,,TRUE
3293,9/5/2015,bottled beer,,FALSE
3543,25-02-2015,brown bread,,TRUE
1153,26-10-2015,soft cheese,,TRUE
4097,14-11-2015,other vegetables,,TRUE
1073,3/12/2015,brown bread,,FALSE
3390,21-02-2015,yogurt,,TRUE
1768,19-05-2015,other vegetables,,TRUE
1186,26-04-2015,whole milk,,TRUE
4138,4/9/2015,yogurt,,FALSE
2816,11/10/2015,other vegetables,,FALSE
2568,19-05-2015,other vegetables,,TRUE
4512,7/3/2015,butter,,FALSE
1628,19-11-2015,pastry,,TRUE
3911,5/3/2015,brown bread,,FALSE
3736,31-03-2015,whole milk,,TRUE
4644,2/7/2015,other vegetables,,FALSE
1583,31-05-2015,pastry,,TRUE
3338,17-08-2015,snack products,,TRUE
2427,8/1/2015,butter,,FALSE
1302,26-08-2015,butter,,TRUE
4499,29-10-2015,berries,,TRUE
1785,3/2/2015,grapes,,FALSE
3961,24-12-2015,bottled water,,TRUE
2326,16-07-2015,whole milk,,TRUE
1319,18-08-2015,grapes,,TRUE
2370,6/5/2015,UHT-milk,,FALSE
3118,27-03-2015,citrus fruit,,TRUE
1067,5/3/2015,tropical fruit,,FALSE
2870,25-10-2015,beef,,TRUE
3843,17-10-2015,flower (seeds),,TRUE
1978,6/3/2015,brown bread,,FALSE
1849,25-06-2015,soda,,TRUE
4077,4/8/2015,other vegetables,,FALSE
2494,3/9/2015,UHT-milk,,FALSE
1442,31-08-2015,misc. beverages,,TRUE
3840,28-07-2015,yogurt,,TRUE
4288,26-05-2015,white wine,,TRUE
4877,14-06-2015,domestic eggs,,TRUE
3215,31-01-2015,tropical fruit,,TRUE
2425,20-02-2015,other vegetables,,TRUE
2345,17-12-2015,whole milk,,TRUE
1967,27-10-2015,grapes,,TRUE
2231,3/12/2015,whipped/sour cream,,FALSE
3946,13-02-2015,whipped/sour cream,,TRUE
3062,1/8/2015,rolls/buns,,FALSE
2389,13-11-2015,rolls/buns,,TRUE
3599,21-11-2015,whipped/sour cream,,TRUE
1737,5/9/2015,condensed milk,,FALSE
3612,24-06-2015,flour,,TRUE
4070,27-07-2015,other vegetables,,TRUE
3206,29-06-2015,curd,,TRUE
4065,5/5/2015,canned beer,,FALSE
3804,21-06-2015,butter milk,,TRUE
3308,23-10-2015,brown bread,,TRUE
2594,21-05-2015,whole milk,,TRUE
4521,15-09-2015,chewing gum,,TRUE
2226,20-02-2015,pork,,TRUE
3620,16-05-2015,whole milk,,TRUE
1277,23-10-2015,other vegetables,,TRUE
3704,28-09-2015,yogurt,,TRUE
3815,27-06-2015,rolls/buns,,TRUE
1724,23-07-2015,canned beer,,TRUE
1619,29-10-2015,root vegetables,,TRUE
2193,30-09-2015,whole milk,,TRUE
4319,26-10-2015,hard cheese,,TRUE
1836,8/9/2015,herbs,,FALSE
1593,31-01-2015,other vegetables,,TRUE
4082,18-01-2015,brandy,,TRUE
2934,13-09-2015,UHT-milk,,TRUE
2577,26-01-2015,other vegetables,,TRUE
4944,3/10/2015,semi-finished bread,,FALSE
3439,25-08-2015,canned beer,,TRUE
2475,7/5/2015,fish,,FALSE
2492,11/5/2015,other vegetables,,FALSE
2337,10/5/2015,waffles,,FALSE
4779,9/11/2015,chewing gum,,FALSE
2661,1/5/2015,tropical fruit,,FALSE
1136,3/11/2015,whole milk,,FALSE
4286,12/9/2015,photo/film,,FALSE
2810,29-01-2015,butter,,TRUE
3294,10/4/2015,onions,,FALSE
1567,1/4/2015,pot plants,,FALSE
4381,19-08-2015,chicken,,TRUE
2340,10/10/2015,whole milk,,FALSE
2570,24-08-2015,oil,,TRUE
4922,17-12-2015,butter,,TRUE
1339,23-05-2015,other vegetables,,TRUE
2245,3/4/2015,yogurt,,FALSE
3583,23-09-2015,whole milk,,TRUE
3469,20-05-2015,hard cheese,,TRUE
4092,29-03-2015,beef,,TRUE
1629,8/6/2015,tropical fruit,,FALSE
4763,28-10-2015,hard cheese,,TRUE
4202,2/12/2015,pip fruit,,FALSE
2314,2/11/2015,other vegetables,,FALSE
2903,2/8/2015,other vegetables,,FALSE
4320,11/12/2015,whipped/sour cream,,FALSE
4810,15-08-2015,dog food,,TRUE
1700,30-10-2015,other vegetables,,TRUE
3272,21-06-2015,yogurt,,TRUE
3762,20-08-2015,rolls/buns,,TRUE
1125,12/5/2015,shopping bags,,FALSE
3500,31-01-2015,pastry,,TRUE
1174,26-01-2015,whipped/sour cream,,TRUE
4875,26-10-2015,whole milk,,TRUE
4871,19-09-2015,whole milk,,TRUE
3009,14-08-2015,tropical fruit,,TRUE
3593,20-09-2015,grapes,,TRUE
4954,24-09-2015,whole milk,,TRUE
4864,5/11/2015,baking powder,,FALSE
4464,4/3/2015,sugar,,FALSE
3089,17-10-2015,soda,,TRUE
3764,10/11/2015,dog food,,FALSE
1804,26-01-2015,cream cheese ,,TRUE
4804,14-07-2015,sliced cheese,,TRUE
3545,30-11-2015,whipped/sour cream,,TRUE
3904,30-01-2015,whipped/sour cream,,TRUE
1893,11/1/2015,fruit/vegetable juice,,FALSE
3418,13-03-2015,detergent,,TRUE
3694,10/2/2015,rolls/buns,,FALSE
2613,3/2/2015,yogurt,,FALSE
3141,16-11-2015,other vegetables,,TRUE
4501,26-03-2015,berries,,TRUE
3424,1/5/2015,root vegetables,,FALSE
2564,12/5/2015,pastry,,FALSE
2575,22-02-2015,beef,,TRUE
4507,15-08-2015,citrus fruit,,TRUE
1492,29-01-2015,cream cheese ,,TRUE
1514,8/4/2015,citrus fruit,,FALSE
1732,29-05-2015,long life bakery product,,TRUE
3161,12/6/2015,frozen dessert,,FALSE
3094,6/10/2015,grapes,,FALSE
1585,7/1/2015,yogurt,,FALSE
1707,9/6/2015,whipped/sour cream,,FALSE
2467,9/6/2015,other vegetables,,FALSE
2143,12/2/2015,onions,,FALSE
2088,9/2/2015,pastry,,FALSE
2814,8/1/2015,yogurt,,FALSE
3940,9/3/2015,root vegetables,,FALSE
4177,15-06-2015,canned beer,,TRUE
4260,19-10-2015,whipped/sour cream,,TRUE
2169,1/11/2015,salty snack,,FALSE
1612,6/11/2015,frozen vegetables,,FALSE
1464,3/6/2015,dessert,,FALSE
3870,21-02-2015,yogurt,,TRUE
3253,20-06-2015,frozen fish,,TRUE
2784,13-11-2015,margarine,,TRUE
2548,11/11/2015,pork,,FALSE
4064,10/2/2015,coffee,,FALSE
2309,23-03-2015,yogurt,,TRUE
3104,13-05-2015,whole milk,,TRUE
2849,24-11-2015,yogurt,,TRUE
3461,26-06-2015,soda,,TRUE
1601,2/12/2015,soda,,FALSE
3701,15-04-2015,long life bakery product,,TRUE
3955,23-11-2015,root vegetables,,TRUE
4719,28-12-2015,whole milk,,TRUE
1690,21-08-2015,curd,,TRUE
1315,26-08-2015,rolls/buns,,TRUE
3772,18-02-2015,waffles,,TRUE
3797,16-09-2015,butter,,TRUE
3515,3/7/2015,rolls/buns,,FALSE
4163,13-03-2015,soda,,TRUE
1374,5/8/2015,rolls/buns,,FALSE
2775,7/1/2015,chicken,,FALSE
3937,25-04-2015,citrus fruit,,TRUE
3166,14-03-2015,UHT-milk,,TRUE
1805,9/6/2015,pork,,FALSE
2624,21-05-2015,specialty chocolate,,TRUE
4072,14-08-2015,canned beer,,TRUE
1794,17-09-2015,bottled beer,,TRUE
3673,27-08-2015,specialty bar,,TRUE
2696,2/9/2015,pip fruit,,FALSE
1991,9/12/2015,other vegetables,,FALSE
2321,26-01-2015,other vegetables,,TRUE
2636,19-05-2015,margarine,,TRUE
4721,6/7/2015,grapes,,FALSE
3051,9/2/2015,napkins,,FALSE
1705,20-07-2015,cream cheese ,,TRUE
4714,30-08-2015,specialty chocolate,,TRUE
1327,8/6/2015,instant coffee,,FALSE
4719,26-09-2015,specialty bar,,TRUE
3185,2/3/2015,pastry,,FALSE
3621,5/3/2015,other vegetables,,FALSE
3308,17-07-2015,soda,,TRUE
1915,7/8/2015,soda,,FALSE
2753,8/9/2015,cream cheese ,,FALSE
2792,24-10-2015,root vegetables,,TRUE
1723,8/12/2015,margarine,,FALSE
4398,8/11/2015,soda,,FALSE
4667,25-08-2015,cream cheese ,,TRUE
2691,5/2/2015,pip fruit,,FALSE
1636,5/12/2015,other vegetables,,FALSE
2681,2/5/2015,fruit/vegetable juice,,FALSE
3854,19-03-2015,shopping bags,,TRUE
2571,17-07-2015,sugar,,TRUE
3789,12/10/2015,salty snack,,FALSE
4119,15-04-2015,whole milk,,TRUE
3099,18-07-2015,whole milk,,TRUE
1213,7/2/2015,fruit/vegetable juice,,FALSE
2294,31-08-2015,ice cream,,TRUE
2149,23-05-2015,salty snack,,TRUE
4019,28-08-2015,sauces,,TRUE
4167,6/9/2015,condensed milk,,FALSE
2885,19-11-2015,bottled water,,TRUE
4706,23-11-2015,chocolate,,TRUE
3786,11/5/2015,zwieback,,FALSE
2019,18-02-2015,flour,,TRUE
4675,31-10-2015,pastry,,TRUE
4042,30-04-2015,citrus fruit,,TRUE
2102,14-02-2015,root vegetables,,TRUE
2240,1/12/2015,white bread,,FALSE
2151,16-07-2015,other vegetables,,TRUE
3878,24-07-2015,rolls/buns,,TRUE
4235,25-09-2015,bottled water,,TRUE
4817,20-12-2015,dishes,,TRUE
1992,28-08-2015,rolls/buns,,TRUE
3407,25-03-2015,tropical fruit,,TRUE
3668,22-10-2015,brandy,,TRUE
3500,21-07-2015,misc. beverages,,TRUE
1874,15-06-2015,pastry,,TRUE
1343,1/11/2015,specialty chocolate,,FALSE
3234,16-08-2015,tropical fruit,,TRUE
1430,27-10-2015,white wine,,TRUE
3772,27-09-2015,cake bar,,TRUE
2981,10/3/2015,whole milk,,FALSE
1287,28-01-2015,pip fruit,,TRUE
1500,8/3/2015,pasta,,FALSE
2193,14-04-2015,yogurt,,TRUE
1997,21-07-2015,white bread,,TRUE
4546,3/9/2015,whipped/sour cream,,FALSE
4736,21-07-2015,yogurt,,TRUE
1959,30-03-2015,specialty chocolate,,TRUE
1974,3/5/2015,specialty chocolate,,FALSE
2421,2/9/2015,margarine,,FALSE
1513,3/8/2015,other vegetables,,FALSE
1905,7/7/2015,butter,,FALSE
2810,8/9/2015,soda,,FALSE
2867,12/11/2015,citrus fruit,,FALSE
3962,18-09-2015,sliced cheese,,TRUE
1088,30-11-2015,domestic eggs,,TRUE
4976,17-07-2015,liquor,,TRUE
4056,12/6/2015,chewing gum,,FALSE
3611,13-02-2015,curd,,TRUE
1420,14-01-2015,newspapers,,TRUE
4286,8/3/2015,butter,,FALSE
4918,27-01-2015,spices,,TRUE
4783,22-10-2015,whole milk,,TRUE
3709,26-10-2015,pork,,TRUE
4289,8/10/2015,curd,,FALSE
1559,3/10/2015,semi-finished bread,,FALSE
2900,11/4/2015,whole milk,,FALSE
1905,21-02-2015,domestic eggs,,TRUE
3527,29-09-2015,dessert,,TRUE
1495,9/1/2015,packaged fruit/vegetables,,FALSE
3558,3/4/2015,rolls/buns,,FALSE
3128,20-04-2015,soda,,TRUE
1863,4/8/2015,UHT-milk,,FALSE
3841,19-07-2015,frozen vegetables,,TRUE
3903,6/10/2015,condensed milk,,FALSE
2658,16-10-2015,semi-finished bread,,TRUE
4272,6/6/2015,cream cheese ,,FALSE
1120,26-09-2015,tropical fruit,,TRUE
2676,15-08-2015,canned beer,,TRUE
1697,21-05-2015,beverages,,TRUE
2507,25-08-2015,coffee,,TRUE
4620,11/3/2015,semi-finished bread,,FALSE
3365,1/2/2015,whole milk,,FALSE
2978,5/6/2015,other vegetables,,FALSE
2910,28-07-2015,soda,,TRUE
1061,5/9/2015,Instant food products,,FALSE
3276,3/4/2015,frozen vegetables,,FALSE
1326,19-06-2015,condensed milk,,TRUE
3023,28-07-2015,yogurt,,TRUE
2185,11/10/2015,other vegetables,,FALSE
3552,16-06-2015,chewing gum,,TRUE
1967,20-01-2015,hard cheese,,TRUE
4708,20-03-2015,specialty bar,,TRUE
2874,15-02-2015,other vegetables,,TRUE
4177,13-04-2015,butter,,TRUE
1663,7/2/2015,whole milk,,FALSE
2632,2/3/2015,long life bakery product,,FALSE
1377,14-03-2015,fruit/vegetable juice,,TRUE
4162,22-12-2015,pip fruit,,TRUE
2270,1/7/2015,specialty bar,,FALSE
4829,3/11/2015,yogurt,,FALSE
3811,14-04-2015,whole milk,,TRUE
4766,29-09-2015,canned beer,,TRUE
2436,12/4/2015,liquor,,FALSE
3860,5/5/2015,specialty cheese,,FALSE
4875,12/5/2015,roll products ,,FALSE
1587,1/7/2015,hard cheese,,FALSE
4038,8/7/2015,newspapers,,FALSE
4750,21-09-2015,shopping bags,,TRUE
1199,10/12/2015,bottled water,,FALSE
1603,30-09-2015,whole milk,,TRUE
3111,31-01-2015,other vegetables,,TRUE
3894,13-12-2015,curd,,TRUE
1456,18-09-2015,specialty chocolate,,TRUE
2022,4/3/2015,hard cheese,,FALSE
2505,30-11-2015,whole milk,,TRUE
4851,20-12-2015,tropical fruit,,TRUE
4293,4/8/2015,cream cheese ,,FALSE
2775,6/11/2015,frozen vegetables,,FALSE
3693,18-02-2015,whole milk,,TRUE
1202,22-07-2015,semi-finished bread,,TRUE
3699,23-08-2015,brown bread,,TRUE
4152,15-04-2015,pip fruit,,TRUE
4155,26-01-2015,oil,,TRUE
4010,29-12-2015,brown bread,,TRUE
4389,20-10-2015,soft cheese,,TRUE
3746,17-08-2015,pip fruit,,TRUE
2560,17-05-2015,bottled water,,TRUE
1503,25-07-2015,fruit/vegetable juice,,TRUE
2555,23-12-2015,fruit/vegetable juice,,TRUE
3645,12/12/2015,bottled water,,FALSE
3886,11/9/2015,other vegetables,,FALSE
2932,20-03-2015,rolls/buns,,TRUE
1711,18-06-2015,white bread,,TRUE
4291,8/12/2015,chocolate marshmallow,,FALSE
1143,25-04-2015,sugar,,TRUE
4564,8/7/2015,nuts/prunes,,FALSE
3337,14-05-2015,waffles,,TRUE
4931,4/5/2015,pip fruit,,FALSE
2623,10/10/2015,margarine,,FALSE
4581,3/4/2015,onions,,FALSE
2635,11/6/2015,rolls/buns,,FALSE
1095,30-10-2015,domestic eggs,,TRUE
2990,23-05-2015,brown bread,,TRUE
2426,5/6/2015,tropical fruit,,FALSE
4555,7/11/2015,canned beer,,FALSE
3635,4/9/2015,brown bread,,FALSE
3058,18-05-2015,rolls/buns,,TRUE
4391,26-03-2015,tropical fruit,,TRUE
1306,23-06-2015,yogurt,,TRUE
1024,10/8/2015,other vegetables,,FALSE
1295,23-07-2015,dessert,,TRUE
1661,1/6/2015,pip fruit,,FALSE
4591,15-05-2015,yogurt,,TRUE
3169,14-06-2015,herbs,,TRUE
3915,21-05-2015,cream cheese ,,TRUE
1127,14-01-2015,margarine,,TRUE
4828,8/8/2015,salt,,FALSE
3683,10/6/2015,ice cream,,FALSE
1971,18-09-2015,frozen meals,,TRUE
3014,11/11/2015,napkins,,FALSE
3779,15-09-2015,berries,,TRUE
2489,4/5/2015,cake bar,,FALSE
3564,27-06-2015,coffee,,TRUE
4092,30-09-2015,butter,,TRUE
3221,13-01-2015,sweet spreads,,TRUE
1279,6/9/2015,rolls/buns,,FALSE
2581,22-08-2015,frozen meals,,TRUE
2295,25-02-2015,fruit/vegetable juice,,TRUE
4760,22-02-2015,dessert,,TRUE
3649,16-01-2015,yogurt,,TRUE
1075,19-11-2015,fruit/vegetable juice,,TRUE
3987,19-08-2015,domestic eggs,,TRUE
4106,25-08-2015,margarine,,TRUE
4338,24-06-2015,white bread,,TRUE
4166,6/11/2015,whole milk,,FALSE
1211,10/3/2015,yogurt,,FALSE
3954,21-01-2015,rice,,TRUE
3928,18-07-2015,bottled beer,,TRUE
3827,30-09-2015,tropical fruit,,TRUE
4699,8/2/2015,root vegetables,,FALSE
4747,8/6/2015,root vegetables,,FALSE
3028,9/6/2015,other vegetables,,FALSE
2851,16-03-2015,spread cheese,,TRUE
4417,25-02-2015,sugar,,TRUE
3822,7/3/2015,shopping bags,,FALSE
2288,31-05-2015,specialty bar,,TRUE
2184,30-06-2015,beef,,TRUE
1345,21-07-2015,napkins,,TRUE
4441,9/11/2015,hygiene articles,,FALSE
2540,16-02-2015,tropical fruit,,TRUE
1997,6/6/2015,processed cheese,,FALSE
2294,26-07-2015,bottled water,,TRUE
1523,28-03-2015,citrus fruit,,TRUE
3165,18-08-2015,herbs,,TRUE
4831,12/4/2015,whole milk,,FALSE
4073,2/11/2015,UHT-milk,,FALSE
3661,25-07-2015,white wine,,TRUE
2019,9/10/2015,white bread,,FALSE
1092,16-05-2015,other vegetables,,TRUE
4078,14-11-2015,newspapers,,TRUE
4753,21-06-2015,salty snack,,TRUE
1279,10/9/2015,citrus fruit,,FALSE
1012,19-11-2015,onions,,TRUE
2362,23-11-2015,candy,,TRUE
2789,6/2/2015,curd,,FALSE
3229,7/8/2015,frozen vegetables,,FALSE
1715,3/5/2015,frozen meals,,FALSE
4351,16-01-2015,whole milk,,TRUE
4397,27-06-2015,yogurt,,TRUE
3653,21-10-2015,pork,,TRUE
2730,10/11/2015,butter,,FALSE
4321,27-10-2015,rolls/buns,,TRUE
1086,17-11-2015,curd,,TRUE
1708,28-12-2015,pastry,,TRUE
4293,24-08-2015,soda,,TRUE
4524,22-04-2015,yogurt,,TRUE
3783,8/3/2015,soda,,FALSE
1460,24-06-2015,whipped/sour cream,,TRUE
2960,19-12-2015,yogurt,,TRUE
3442,12/10/2015,misc. beverages,,FALSE
4059,7/5/2015,curd,,FALSE
1822,3/3/2015,pip fruit,,FALSE
1584,10/7/2015,hygiene articles,,FALSE
1624,4/2/2015,fruit/vegetable juice,,FALSE
4877,6/11/2015,rum,,FALSE
1567,11/4/2015,shopping bags,,FALSE
2018,4/1/2015,coffee,,FALSE
1182,1/9/2015,whole milk,,FALSE
3401,2/8/2015,other vegetables,,FALSE
4547,18-01-2015,whole milk,,TRUE
3547,21-10-2015,meat,,TRUE
4831,6/4/2015,other vegetables,,FALSE
2851,1/1/2015,brown bread,,FALSE
3072,28-02-2015,yogurt,,TRUE
1398,15-04-2015,canned fruit,,TRUE
1779,28-10-2015,curd,,TRUE
1823,27-11-2015,curd,,TRUE
3360,14-11-2015,whole milk,,TRUE
1565,15-10-2015,tidbits,,TRUE
4321,8/5/2015,pip fruit,,FALSE
1293,5/3/2015,hard cheese,,FALSE
3331,25-07-2015,flour,,TRUE
2408,19-05-2015,dessert,,TRUE
2742,10/10/2015,onions,,FALSE
3934,1/5/2015,bottled beer,,FALSE
4742,22-06-2015,coffee,,TRUE
4405,22-07-2015,pastry,,TRUE
3229,25-03-2015,UHT-milk,,TRUE
2817,22-12-2015,chewing gum,,TRUE
